STATE,facilities,total_beds,burn_beds,adult_trauma_centers,peds_trauma_centers,adult_burn_centers,peds_burn_centers,population,total_beds_per_100k,burn_beds_per_100k,largest_single_facility_beds,capacity_loss_pct,broadband_pct,digital_coverage_pct,rural_county_share,provider_density_score,svi_weighted,access_gap_component,fragility_component,rurality_component,digital_gap_component,provider_shortage_component,vulnerability_component,telemedicine_priority_score
NE,7,2366,16.0,5,1,1,1,1855350.0,127.52310884738729,0.862370981216482,718,30.346576500422657,90.2,41.045391599999995,88.17204301075269,248.19170998074685,0.40216702270974236,0.13292361662496008,0.2748815922252374,0.9796893667861409,0.5923767132800335,0.22020362339336164,0.3593505294562156,39.720617792738835
AZ,14,6110,80.0,13,3,2,2,6551149.0,93.26608202622167,1.2211598301305617,698,11.423895253682488,91.1,32.4239044,46.666666666666664,2055.124054814311,0.7671235779491102,0.2172052742405406,0.07788934393253358,0.5185185185185185,0.6798633183926914,0.008936780609705888,0.9254391474245243,38.589838489183116
NC,9,7360,60.0,9,4,2,2,9748364.0,75.49984797449089,0.6154878910963932,974,13.233695652173912,90.2,50.5971678,55.00000000000001,342.51046223932076,0.6273186049683416,0.29103335771755007,0.09673004863030332,0.6111111111111112,0.4954499936609536,0.15403506120393357,0.708585928038254,38.26451608260709
TX,48,22794,206.0,40,10,8,6,26060796.0,87.46471136184789,0.7904593551171654,1008,4.4222163727296655,91.5,60.677360300000004,66.14173228346458,1034.073385073963,0.7667164150287611,0.2380151764709753,0.0049992261634120025,0.7349081364829397,0.39316116573030646,0.03758994922660473,0.9248075919926257,37.38237045571272
RI,1,719,0.0,1,1,1,1,1050304.0,68.45637072695143,0.0,719,100.0,91.4,80.3094083,0.0,416.7661853239437,0.5634214583504683,0.3309104233950032,1.0,0.0,0.19394481348324316,0.12301244794652254,0.6094742751531426,37.1692336336187
GA,16,8153,129.0,13,3,3,3,9915646.0,82.22358886148214,1.3009742380879672,961,11.787072243346007,91.2,52.5146109,53.459119496855344,336.34506371117396,0.6364143825895968,0.25934027469003407,0.08167015336377194,0.593990216631726,0.47599272562537726,0.15722672412530495,0.7226945009876735,36.95712167825866
CA,62,22552,140.0,52,11,12,11,37999878.0,59.347558957952444,0.3684222354608612,889,3.9420007094714435,93.4,47.2620183,36.206896551724135,2969.691417183536,0.7231977370651324,0.3965160400140157,0.0,0.4022988505747126,0.5292934478736072,0.0,0.8573052333952289,36.74636397800363
MD,6,2673,20.0,6,1,1,1,5884868.0,45.42157954944784,0.33985469172800475,1091,40.81556303778526,92.4,73.758499,29.166666666666668,581.922447511453,0.472657139442041,0.5476829309022662,0.38386769036058405,0.32407407407407407,0.26042021404498605,0.08240064930815351,0.4686886196714733,36.48384198444572
KS,5,3212,28.0,5,1,2,2,2885398.0,111.31913171077265,0.9704033897576695,910,28.33125778331258,90.8,61.183776300000005,80.95238095238095,271.5533339726704,0.43455346579370974,0.16632457632538525,0.25390136432131527,0.8994708994708994,0.38802230562566786,0.19953196196668313,0.40958554111202145,36.41579549558344
DE,2,1277,0.0,1,1,0,0,917053.0,139.25040319370854,0.0,1140,89.27173061863743,92.5,80.4961438,33.33333333333333,366.0311506071384,0.5698545731581517,0.11359910628064923,0.8883146696724883,0.3703703703703703,0.19204991361619766,0.14284653449470622,0.6194527589436979,36.03549136347814
SC,8,4337,25.0,7,4,1,1,4723417.0,91.81912162318085,0.5292778511827348,865,19.94466220890016,89.2,62.7092831,43.47826086956522,218.4776562257202,0.6525743603130622,0.22214947167907928,0.16659374146476313,0.48309178743961356,0.3725422140924723,0.25288364758210097,0.7477604419183006,35.89681427943574
ND,6,1453,0.0,6,1,0,0,701345.0,207.17335975874926,0.0,286,19.683413626978666,89.4,67.2676677,84.90566037735849,82.46008934516779,0.27351284262312814,0.04470497363591608,0.1638740451994751,0.9433962264150944,0.32628597265748854,0.7031390543610819,0.15979344257690256,35.564955459048534
NH,4,1207,0.0,4,1,0,0,1321617.0,91.32751773017448,0.0,396,32.8086164043082,93.9,36.3606736,70.0,206.90667620505343,0.17049422945615064,0.22386491570356712,0.3005123561602541,0.7777777777777778,0.6399149238256758,0.2681488783987929,0.0,35.39193193502669
CO,19,6332,52.0,17,3,3,2,5189458.0,122.01659595279506,1.0020314260179002,825,13.029058749210359,93.2,34.1641452,73.4375,395.6579330714355,0.4177334497703088,0.14327896918796423,0.0945997012935383,0.8159722222222222,0.6622042120066682,0.13064649243936324,0.3834958066266474,34.88575074852569
UT,8,2869,15.0,7,1,1,1,2854871.0,100.49490852651486,0.5254177859525001,527,18.368769606134542,93.6,38.0012308,68.96551724137932,424.1385690050776,0.32972149598225725,0.19463712034563288,0.15018810513665984,0.7662835249042146,0.6232673575077523,0.12052518069671707,0.24697937865923877,33.474581212209564
